time,semitone,f0
8.883,65,340.572
8.893,64,338.172
8.904,64,336.231
8.915,64,334.581
8.925,64,333.892
8.936,64,333.85
8.947,64,333.709
8.958,64,333.674
8.968,64,333.906
8.979,64,333.492
8.99,64,332.94
9,64,332.631
9.011,64,332.494
9.022,64,332.515
9.033,64,332.748
9.043,64,333.156
9.054,64,333
9.065,64,332.633
9.075,64,332.296
9.086,64,331.869
9.097,64,331.444
9.108,64,331.054
9.118,64,331.163
9.129,64,331.212
9.14,64,330.981
9.15,64,330.907
9.161,64,330.671
9.172,64,330.043
9.183,64,328.659
9.193,64,324.753
9.204,64,323.91
9.215,64,323.59
9.225,64,321.839
9.236,63,318.969
9.247,64,320.267
9.258,63,315.583
9.268,63,307.829
9.279,63,303.129
9.29,62,300.081
9.3,62,298.246
9.311,62,297.613
9.322,62,297.384
9.333,62,297.06
9.343,62,297.211
9.354,62,297.432
9.365,62,297.508
9.375,62,297.624
9.386,62,297.466
9.397,62,297.355
9.408,62,297.494
9.418,62,297.225
9.429,62,297.249
9.44,62,297.182
9.45,62,296.724
9.461,62,296.214
9.472,62,296.31
9.483,62,296.645
9.493,62,297.191
9.504,62,297.283
9.515,62,297.058
9.525,62,297.08
9.536,62,296.983
9.547,62,296.965
9.558,62,297.363
9.568,62,297.722
9.579,62,298.124
9.59,62,298.433
9.6,62,298.625
9.611,62,298.318
9.622,62,296.397
9.633,62,290.236
9.643,62,288.381
9.654,61,285.005
9.665,61,279.613
9.675,61,272.742
9.686,61,270.56
9.697,60,266.044
9.708,60,262.819
9.718,60,263.211
9.729,60,265.393
9.74,60,267.296
9.75,60,268.193
9.761,60,268.798
9.772,60,269.105
9.783,60,269.216
9.793,60,268.815
9.804,60,268.11
9.815,60,267.141
9.825,60,265.544
9.836,60,264.088
9.847,60,262.628
9.858,60,261.503
9.868,60,261.073
9.879,60,261.519
9.89,60,262.294
9.9,60,263.34
9.911,60,263.753
9.922,60,264.026
9.933,60,264.37
9.943,60,263.784
9.954,60,259.052
9.965,60,258.11
9.975,60,260.252
9.986,60,261.447
9.997,60,263.009
10.008,60,264.239
10.018,60,264.763
10.029,60,265.053
10.04,60,264.949
10.05,60,264.707
10.061,60,264.434
10.072,60,263.787
10.083,60,262.9
10.093,60,261.919
10.104,60,261.233
10.115,60,260.349
10.125,60,265.093
10.136,60,267.032
10.147,60,265.236
10.158,60,263.785
10.168,60,262.708
10.179,60,261.811
10.19,60,261.408
10.2,60,261.189
10.211,60,260.756
10.222,60,259.812
10.233,60,259.533
10.243,60,260.461
10.254,60,260.878
10.265,60,260.562
10.275,60,260.298
10.286,60,259.597
10.297,60,259.845
10.308,60,260.746
10.318,60,261.212
10.329,60,261.645
10.34,60,261.513
10.35,60,261.509
10.361,60,261.36
10.372,60,261.377
10.383,60,261.925
10.393,60,261.871
10.404,60,262.04
10.415,60,261.912
10.425,60,261.639
10.436,60,261.081
10.447,60,260.717
10.458,60,260.692
10.468,60,261.321
10.479,60,261.7
10.49,60,261.488
10.5,60,260.551
10.511,60,259.643
10.522,60,260.126
10.533,60,261.481
10.543,60,262.337
10.554,60,262.426
10.565,60,261.648
10.575,60,261.543
10.586,60,261.565
10.597,60,261.231
10.608,60,261.116
10.618,60,260.943
10.629,60,261.069
10.64,60,261.127
10.65,60,261.178
10.661,60,260.777
10.672,60,261.073
10.683,60,261.353
10.693,60,261.356
10.704,60,261.395
10.715,60,262.089
10.725,60,262.431
10.736,60,262.202
10.747,60,261.682
10.758,60,261.047
10.768,60,260.459
10.779,60,259.495
10.79,60,258.736
10.8,60,258.009
10.811,60,257.396
10.822,60,257.351
10.833,60,258.103
10.843,60,259.488
10.854,60,260.53
10.865,60,261.168
10.875,60,262.108
10.886,60,263.946
10.897,60,265.308
10.908,60,265.353
10.918,60,265.764
10.929,60,265.623
10.94,60,261.146
10.95,59,250.441
10.961,59,240.631
11.433,57,217.611
11.443,56,209.251
11.454,56,202.701
11.465,55,198.671
11.475,55,197.728
11.486,55,196.879
11.497,55,196.653
11.508,55,196.653
11.518,55,197.593
11.529,55,199.94
11.54,55,200.255
11.55,56,202.289
11.561,56,210.64
